number,title,writer,is_open,body,comments
1191,The problem with the order of actions returned by fetchActions,Comdex,open,"Now the order of actions returned by calling fetchActions is opposite to the order of transaction execution, which is not conducive for developers to implement the calculation of action state outside the circuit, because we cant simply sort the returned actions in reverse order (this does not apply when there are multiple actions in the same block).

I remember that this problem was fixed before. The reason why it reappears now seems to be that the order of results returned by Archive-Node-API is already the order we need (this was not the case before), but it was reversed in o1js.

https://github.com/o1-labs/o1js/blob/bb9cf00d6dbf74710690d5a2655e6205b05f9454/src/lib/fetch.ts#L955

```ts
let Blockchain = Mina.Network({
    mina: 'https://proxy.testworld.minaexplorer.com',
    archive: 'https://archive.testworld.minaexplorer.com',
  });
  Mina.setActiveInstance(Blockchain);
  let actions = await Mina.fetchActions(
    PublicKey.fromBase58(
      'B62qnd9Ub6kFjAwemb6534AeHMoVLMENgArGNAZ1bTH3DsJQwYfW2Po'
    )
  );

  console.log('actions: ', JSON.stringify(actions));
```
fetchActions result:
```json
[
    {
        ""actions"": [
            [
                ""7""
            ]
        ],
        ""hash"": ""28070093062662078916499520860561703477303560026817655981526893076442153210979""
    },
    {
        ""actions"": [
            [
                ""4""
            ]
        ],
        ""hash"": ""23738301534377930147872706760016946916884087570092081717864769695371553815740""
    },
    {
        ""actions"": [
            [
                ""5""
            ]
        ],
        ""hash"": ""16891113948507207555876484680132852726238336040234239181671265432067789635321""
    },
    {
        ""actions"": [
            [
                ""6""
            ]
        ],
        ""hash"": ""18241307966174365020070272932594687425553651419553221885978164300111705170677""
    },
    {
        ""actions"": [
            [
                ""1""
            ]
        ],
        ""hash"": ""14126484005541313471935487941009247632007934229859291061844286995942998079814""
    },
    {
        ""actions"": [
            [
                ""2""
            ]
        ],
        ""hash"": ""25022851442625413655674736193944689738867947575763044922384812023793434021995""
    },
    {
        ""actions"": [
            [
                ""3""
            ]
        ],
        ""hash"": ""1412358922281821052975075556724736322980844705018992777728351088320565280744""
    }
]
```

archive node api original result:
```json
[
    {
        ""blockInfo"": {
            ""distanceFromMaxBlockHeight"": 53
        },
        ""actionState"": {
            ""actionStateOne"": ""1412358922281821052975075556724736322980844705018992777728351088320565280744"",
            ""actionStateTwo"": ""25079927036070901246064867767436987657692091363973573142121686150614948079097""
        },
        ""actionData"": [
            {
                ""accountUpdateId"": ""4178"",
                ""data"": [
                    ""1""
                ]
            },
            {
                ""accountUpdateId"": ""4179"",
                ""data"": [
                    ""2""
                ]
            },
            {
                ""accountUpdateId"": ""4180"",
                ""data"": [
                    ""3""
                ]
            }
        ]
    },
    {
        ""blockInfo"": {
            ""distanceFromMaxBlockHeight"": 52
        },
        ""actionState"": {
            ""actionStateOne"": ""18241307966174365020070272932594687425553651419553221885978164300111705170677"",
            ""actionStateTwo"": ""1412358922281821052975075556724736322980844705018992777728351088320565280744""
        },
        ""actionData"": [
            {
                ""accountUpdateId"": ""4181"",
                ""data"": [
                    ""4""
                ]
            },
            {
                ""accountUpdateId"": ""4182"",
                ""data"": [
                    ""5""
                ]
            },
            {
                ""accountUpdateId"": ""4183"",
                ""data"": [
                    ""6""
                ]
            }
        ]
    },
    {
        ""blockInfo"": {
            ""distanceFromMaxBlockHeight"": 0
        },
        ""actionState"": {
            ""actionStateOne"": ""28070093062662078916499520860561703477303560026817655981526893076442153210979"",
            ""actionStateTwo"": ""18241307966174365020070272932594687425553651419553221885978164300111705170677""
        },
        ""actionData"": [
            {
                ""accountUpdateId"": ""4184"",
                ""data"": [
                    ""7""
                ]
            }
        ]
    }
]
```

",[]
1189,"Proof.fromJSON() for times in a process, failed with : RangeError: offset is out of bounds",coldstar1993,open,"I hv a zkProgram named `JoinSplitProver `and its Proof is `JoinSplitProof`. 
after compiling  `JoinSplitProver ` in the same process, I try to deserialize a json obj to `JoinSplitProof` for almost twenty times, and failed with '**RangeError: offset is out of bounds**'. 
code as below:
![image](https://github.com/o1-labs/o1js/assets/92623877/f1f7594f-baee-48cf-9de1-7306492caac5)

error stack as below:
![image](https://github.com/o1-labs/o1js/assets/92623877/1209c56d-1ed8-4568-81b6-e70979b6dc74)

I often meet this during circuit execution(witness calc, proof gen), but first time to meet it at `Deserialization`","[('Comdex', 'This seems to be related to the wasm memory leak problem. Similar to executing the proof generation multiple times in a process, the wasm memory will continue to be consumed and not released in time.')]"
1186,HF update branch compatibility in https://github.com/o1-labs/o1js/blob/main/README-dev.md#branch-compatibility,barriebyron,open,"The branch compatibility content requires an update for HF

https://github.com/o1-labs/o1js/blob/main/README-dev.md#branch-compatibility",[]
1185,Expose dummyBase64Proof(),maht0rz,closed,"Would it be possible to expose `dummyBase64Proof()`, or is there a specific reason not to?","[('mitschabaude', 'No reason, PR welcome!'), ('mitschabaude', 'Could be put as a static method on the `Proof` class maybe'), ('maht0rz', ""Just to add, we also need `Pickles` exposed to do `Pickles.proofOfBase64(...)`, i'll make a PR!""), ('mitschabaude', 'made a PR: https://github.com/o1-labs/o1js/pull/1188')]"
1180,Port FFadd and FFsub gadget to TypeScript,Trivo25,open,depends on interface to #1152,[]
1174,Remove Poseidon from PLUME [ERC 7524 incompatibility],Divide-By-0,closed,"We noticed that you deviated from [ERC 7524](https://github.com/ethereum/EIPs/pull/7775) in your implementation of the PLUME nullifier, namely by using the [Poseidon hash](https://github.com/o1-labs/o1js/blob/main/src/lib/nullifier.ts#L189) instead of the recommended hashes. We do not recommend that due to [slowdowns in hardware wallets](https://blog.aayushg.com/posts/nullifier#why-use-secp256k1_xmdsha-256_sswu_ro_-for-hash-to-curve). It is possible that there is something in your implementation that I missed -- open to hearing from your cryptographers!

Edit: Earlier I had mentioned there may be wallet exploits that may be caused by repeated exponentiations of Poseidon hashes, but that is not the case as there is a map_to_curve happening that immunizes against this.","[('Trivo25', 'Thanks for raising this issue! We talked this through in DMs, but just for the public records: \r\n\r\nWe use a [map to curve algorithm](https://github.com/o1-labs/snarky/blob/master/group_map/group_map.ml) which should allow us to prevent the issues mentioned in the blog post. By using this algorithm, we avoid the issue described below\r\n\r\n> Why do we not use a hash function like Poseidon? It turns out that Poseidon would actually lead to a critical vulnerability in ECDSA. Because we would know the pre-image of the final curve exponentiation, we would be able to generate a fake normal ECDSA signature for an arbitrary message. Basically, using the [terminology of ECDSA Wikipedia](https://en.wikipedia.org/wiki/Elliptic_Curve_Digital_Signature_Algorithm#Signature_generation_algorithm), we would know a valid k corresponding to some r (r in this case would be hash(m, pk)), for which we would receive back a PLUME signature that we could use as the last term in the ECDSA signature, add any message hash(m) to, then multiply by k^−1, hence creating an arbitrary ECDSA signing oracle from just one PLUME signature – this would be quite bad. Thus, we must use a hash function for which the final step is not a curve exponentiation.\r\n\r\nPlease let us know if you have any other concerns with our implementation, we highly appreciate your input - this is super important to deliver a robust and secure SDK for writing zero knowledge applications!'), ('Divide-By-0', ""@Trivo25 Continued discussion with Gregor leads me to conclude that yes, due to map_to_curve, your Poseidon hash to curve function is likely secure in the current implementation, because the final operation of your map to curve is not an exponentiation. However, it could be made faster both for calculation in hardware wallets and the client-side zk proof time.\r\n\r\n**Signature in Hardware Wallets**\r\n- We expect, via Markus's benchmarks, that Poseidon would make the ledger app have a 10-15 second slowdown compared to sha256, and you've noticed similar slowdowns in your ledger implementations: https://github.com/search?q=repo%3Ajspada%2Fledger-app-mina%20poseidon&type=code\r\n- We expect a switch to SHA to make this much faster\r\n\r\n**ZK Proof**\r\n- Geometry's post: https://geometry.xyz/notebook/Hashing-to-the-secp256k1-Elliptic-Curve#the-hashtocurve-algorithm > map_to_curve says that the default Shallue-van de Woestijne method that (that [you are using](https://github.com/o1-labs/snarky/blob/78e0d952518f75b5382f6d735adb24eef7a0fa90/group_map/group_map.ml)?) is slower than the Simplified SWU method for the secp256k1 curve specifically, which we optimized to make the zk circuit faster to compute client side. We would likely anticipate speedups from switching to Simplified SWU as well!"")]"
1172,Set feature flags in Pickles and Kimchi depending on custom gates used,mitschabaude,closed,"This is a requirement to make any of the custom gates work.

Both Kimchi and Pickles have a concept of ""feature flags"" which says which custom gates should be enabled. These have to be set on a per-circuit basis: The flags set to true exactly have to match the actual custom gates used in a circuit.

This will probably require some refactors in o1js since currently o1js isn't designed at all to look at the contents of a circuit before interacting with Kimchi / Pickles.

Here are places that use feature flags, which probably have to be hooked into dynamically from o1js (potentially non-exhaustive list!)
* Wasm bindings https://github.com/o1-labs/o1js-bindings/blob/571e1b2ea970623772efb4989f17459a4271503f/kimchi/wasm/src/plonk_verifier_index.rs#L642-L660
* Pickles bindings https://github.com/o1-labs/o1js-bindings/blob/a065bad2f3e62d961b70288ae70b2c71d5fc995e/ocaml/lib/pickles_bindings.ml#L253",[]
1169,Exercise more APIs during the live tests against real network (if makes sense),shimkiv,open,Maybe start with updating the https://github.com/o1-labs/o1js/blob/main/tests/integration/simple-zkapp.js,"[('mitschabaude', 'To me it would be interesting to run a variant of this one, which is fairly complicated and exercises a number of things: https://github.com/o1-labs/o1js/blob/main/src/examples/zkapps/dex/happy-path-with-actions.ts'), ('shimkiv', '[Internal details of tools needed](https://o1-labs.slack.com/archives/C028Q27R8UC/p1697731181038089?thread_ts=1697474701.828569&cid=C028Q27R8UC).')]"
1166,Recursive verification does not fail on proof from a foreign ZkProgram,mitschabaude,open,"Unexpected behaviour reported on discord: https://discord.com/channels/484437221055922177/1159491755469721611

![image](https://github.com/o1-labs/o1js/assets/20989968/961e0f8a-4e73-45a7-9413-627d754fd87a)

OCaml test: https://github.com/MinaProtocol/mina/compare/testing/mixing-proofs?expand=1",[]
1159,Port ECDSAVerify gadget to TypeScript,Trivo25,open,party depends on interfaces to #1153 #1157 #1154 #1155 ,[]
1158,Port EcCheckSubgroup gadget to TypeScript,Trivo25,open,,[]
1157,Port ECScale gadget to TypeScript,Trivo25,open,depends on #1153 #1154 ,[]
1156,Port ECIsOnCurve gadget to TypeScript,Trivo25,open,depends on #1157 ,[]
1155,Port ECNegate gadget to TypeScript,Trivo25,open,,[]
1154,Port ECDouble gadget to TypeScript,Trivo25,open,,[]
1153,Port ECAdd gadget to TypeScript,Trivo25,open,depends on interfaces to #1142 #1152 #1180 ,[]
1152,Port FFSum_check gadget to TypeScript,Trivo25,open,,[]
1149,mina-signer: use string instead of boolean for compilation option,nicc,open,We need to make the mina-signer change that goes with this PR: https://github.com/MinaProtocol/mina/pull/13232,"[('bkase', ""Context: If we don't expose this in mina-signer, it's not really real. Why is this feature important? It prevents replay attacks from an arbitrary string-labeled network (instead of just two, which isn't enough in a world with projects like [zeko](https://zeko.io/))"")]"
1148,Port LSL and LSR gadgets to TypeScript,nicc,open,,"[('Trivo25', 'depends on #1139')]"
1147,Port SHA-3 gadget to TypeScript,nicc,closed,,"[('Trivo25', 'same as #1146 ')]"
1146,Port Keccak (SHA3) gadget to TypeScript,nicc,open,partly depends on interfaces to #1138 #1140 #1141 #1139 #1148 ,[]
1145,Port ECDSA gadget to TypeScript,nicc,closed,,[]
1144,Port MUL gadget to TypeScript,nicc,closed,,[]
1143,Port ADD gadget to TypeScript,nicc,closed,,[]
1142,Port FFMUL gadget to TypeScript,nicc,open,,"[('chiro-hiro', 'Hi @nicc, are there any detail on this?.')]"
1141,Port NOT gadget to TypeScript,nicc,open,,"[('Trivo25', 'depends on #1138 ')]"
1140,Port AND gadget to TypeScript,nicc,closed,,"[('Trivo25', 'depends on #1138 ')]"
1139,Port ROT64 gadget to TypeScript,nicc,closed,,[]
1138,Port XOR gadget to TypeScript,nicc,closed,,[]
1137,Check opensource webkit to see if wasm memory limit will be raised ,nicc,open,,[]
1136,Automatically create a fortnightly release PR for o1js,nicc,open,See also: https://github.com/o1-labs/zkapp-cli/issues/495,"[('nicc', 'This would be step toward a release train.\n\nWhat does the PR do? Just bump version number?')]"
